CODE_FOURNISSEUR;NO_COMMANDE_FOURNISSEUR;CODE_RAYON;CLASSE_STOCKAGE;SITUATION_COMMANDE;DATE_COMMANDE;DATE_LIVRAISON;CDBASE;EAN;LIBELLÉ_ARTICLE;QUANTITE_CONFIRMEE;STOCK_MARCHAND;STOCK;RAL
794;1611982;;1060;3;26/05/2025;28/05/2025;4157744;3560070482757;300G COUSC POULT MERGUEZ CRF C;33;73;69;0
794;1611982;;1060;3;26/05/2025;28/05/2025;4218694;3560070521715;1KG OURSON LAIT TUBO CRF;12;14;3;12
794;1611982;;1060;3;26/05/2025;28/05/2025;4233454;3560070531455;66G LEVURE CHIMIQUE CRF  CLASS;228;458;524;0
794;1611982;;1060;3;26/05/2025;28/05/2025;4243952;3047100227422;70CL LIQUEUR 15 V SOHO LITCHI;12;25;3;12
794;1611982;;1060;3;26/05/2025;28/05/2025;4294679;5902738884554;1L VODKA 37 5 V SOBIESKI;6;15;11;0
794;1611982;;1060;3;26/05/2025;28/05/2025;4296525;3560070520381;500G SON D'AVOINE CRF BIO;30;53;22;30
794;1611982;;1060;3;26/05/2025;28/05/2025;4320567;3229820769141;100G BIO GALETTE MAIS CHOCO BJ;36;26;0;0
794;1611982;;1060;3;26/05/2025;28/05/2025;6485707;3252378001586;1KG GROS SEL IODE ETUI CEREBOS;36;98;58;60
794;1611982;;1060;3;26/05/2025;28/05/2025;6543069;8710637105390;370G WRAPS MULTI GRAIN MISSION;11;38;46;0
794;1611982;;1060;3;26/05/2025;28/05/2025;6543091;8710637105352;370G WRAPS ORIGINAL MISSION;33;71;36;22
794;1611982;;1060;3;26/05/2025;28/05/2025;6556624;3560071207137;3X100G CHOC NR 47  CRF CLASS;40;193;96;160
794;1611982;;1060;3;26/05/2025;28/05/2025;6557985;3700468421191;4/4 CONFIT DE CANARD 2 CUISSES;18;22;15;0
794;1611982;;1060;3;26/05/2025;28/05/2025;6577611;3560071193195;140G FLEUR DE SEL DE GUER RDF;48;104;88;0
794;1611982;;1060;3;26/05/2025;28/05/2025;6609367;8852018511052;60GX5 NOUILLES POULET YUM YUM;24;53;27;48
794;1611982;;1060;3;26/05/2025;28/05/2025;6644432;5054563049360;75ML TUBE SOIN QUOT PARADONTAX;36;101;68;0
794;1611982;;1060;3;26/05/2025;28/05/2025;6721484;3760077537201;300G GRISSINI ARTIGIANALI TRAD;72;187;1;180
794;1611982;;1060;3;26/05/2025;28/05/2025;6721487;3760077537225;300G GRISSINI ARTIGIA SESAME;12;133;144;36
794;1611982;;1060;3;26/05/2025;28/05/2025;6721489;3760077537249;250G GRISSINI ARTIGI MULTIGRAI;12;58;60;12
794;1611982;;1060;3;26/05/2025;28/05/2025;6724664;3080920992156;4X113G COCKTAIL DE FRUITS ST M;30;16;12;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7792011;3600551142197;400ML DOP SHAMPOING ANTI PEL;36;91;22;36
794;1611982;;1060;3;26/05/2025;28/05/2025;7794498;5000159560726;333G TWIX MINIS X15;24;31;14;24
794;1611982;;1060;3;26/05/2025;28/05/2025;7795427;3178041361439;TAFT GEL V12 300ML;12;26;16;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7804323;5054563206688;SSD DENT SOIN GENCIVES TA 75ML;24;63;42;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7810440;3103220062470;POCKET MULTIPACK 340G;22;105;19;88
794;1611982;;1060;3;26/05/2025;28/05/2025;7812368;3609200011525;55G JOYFUEL CHOC  LAIT COCO;36;39;10;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7815237;3760207119086;200ML COCO CURL GELEE E FRUIT;36;35;2;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7816778;5900951311390;225G MARS X5;75;79;33;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7816794;5000159557658;500G 10X TWIX;26;59;58;26
794;1611982;;1060;3;26/05/2025;28/05/2025;7816798;5000159560863;500G 10 BARRES SNICKERS;20;17;33;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7819639;3760001769500;X 44 COUCHE T4 7 18KG CARRYBOO;3;15;13;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7821010;3560071498900;X8 800G TORTIL /DURUM CRF SENS;12;23;13;12
691;1611962;;1070;3;26/05/2025;28/05/2025;4525806;3560070591565;3X35G CABECOU CRF;48;165;121;0
691;1611962;;1070;3;26/05/2025;28/05/2025;4684552;3560070716838;YT BRE BIO NAT 2X125G CAR;54;174;81;42
691;1611962;;1070;3;26/05/2025;28/05/2025;4738056;3560070706136;BRK 1L PJ OR/CLEM/RAISI CRF EX;30;108;81;0
691;1611962;;1070;3;26/05/2025;28/05/2025;4766701;3307905810084;6X30G MINI PAVE D'AFFINOIS;36;71;2;36
691;1611962;;1070;3;26/05/2025;28/05/2025;4808780;3560070787005;160G JB SUP 4T DD SOGM CRF EXT;30;135;114;0
691;1611962;;1070;3;26/05/2025;28/05/2025;4811117;3560070777822;6X74G MOUSSE AUX FRUITS CRF CL;48;236;191;0
691;1611962;;1070;3;26/05/2025;28/05/2025;4827684;3560070786947;320G JB SP DD SSOGM 8T CRF EXT;36;117;85;0
691;1611962;;1070;3;26/05/2025;28/05/2025;4916992;3153572109019;2X150G MAXI DELICES NAT ECOCHA;12;35;25;0
691;1611962;;1070;3;26/05/2025;28/05/2025;4940023;3286151030401;250G PLAQ BEURRE BRESSE AOC;60;186;72;60
691;1611962;;1070;3;26/05/2025;28/05/2025;4940059;3286151130309;50CL CR FR EPAISSE AOC ETREZ;12;21;0;12
691;1611962;;1070;3;26/05/2025;28/05/2025;4940061;3286151301303;POT38CL CREME GASTRONO AOC;18;28;12;0
691;1611962;;1070;3;26/05/2025;28/05/2025;5246741;3307907100084;200G PAVE D'AFFINOIS;56;168;51;64
691;1611962;;1070;3;26/05/2025;28/05/2025;7203492;3560071421939;140G JB PARIS DD 4T CSN CRF CL;18;53;37;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7396030;3560071449681;210G JB SUP 6T DD CSN CRF EXT;48;106;61;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7424996;3073781178005;264G MINIBABY F12;156;333;182;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7435856;3073781180848;150G BOURSIN AFH 2022;24;64;43;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7438443;3073781177916;MINIBABY F6 132G;120;243;129;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7599411;3073781192186;192G 12P VACHE QUI RIT;72;245;180;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7611113;3073781192254;512G VACHE QUI RIT 32P EU9;72;141;28;48
691;1611962;;1070;3;26/05/2025;28/05/2025;7613021;3560071479770;100G X4 SCISSE FUMEES CRF;56;154;101;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7639868;3073781170269;125G KIRI FOUETTE POT;36;146;112;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7682347;3560071480066;1L PJ ORANGE A/P PET SIMPL;12;24;14;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7821685;3073781191585;280G PIK CROQ X8;12;21;12;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7994822;3073781216127;250G APC SOIREE MATCH 48 CUBES;15;18;7;0
