EAN;TS_1_Mois;TS_2_Mois;TS_3_Mois;TS_Final;TS_1_Semaine;TS_Final_V2
3021760980217;;100%;100%;100%;;100%
3021760980224;;100%;100%;100%;;100%
3021760980248;;100%;100%;100%;;100%
3021761202974;100%;100%;69%;100%;100%;100%
3021761204114;100%;100%;63%;100%;100%;100%
3021761204176;100%;100%;100%;100%;;100%
3021761206804;100%;100%;100%;100%;;100%
3021761206811;100%;100%;100%;100%;100%;100%
3021761207900;99%;99%;99%;99%;100%;100%
3021761208136;100%;100%;99%;100%;;100%
3021761208150;100%;100%;100%;100%;;100%
3021761208266;100%;100%;100%;100%;;100%
3021761208273;100%;100%;100%;100%;;100%
3021762408016;0%;0%;0%;0%;0%;0%
3021762412129;;33%;88%;33%;;33%
3021762412198;100%;87%;91%;100%;100%;100%
3021762412242;100%;84%;90%;100%;100%;100%
3021762412280;100%;99%;100%;100%;100%;100%
3021762412433;100%;100%;100%;100%;100%;100%
3021762412457;100%;94%;96%;100%;100%;100%
3021762412464;100%;86%;90%;100%;100%;100%
3021762412471;100%;96%;98%;100%;100%;100%
3021762420087;100%;79%;85%;100%;100%;100%
3021762420094;76%;88%;83%;76%;83%;83%
3021762420124;100%;99%;100%;100%;100%;100%
3021762420148;100%;100%;100%;100%;;100%
3021762432219;100%;96%;98%;100%;100%;100%
3021762432226;100%;100%;100%;100%;100%;100%
3021762432301;33%;39%;39%;33%;;33%
3021762436149;100%;100%;100%;100%;;100%
3021762436231;100%;100%;100%;100%;;100%
3021762464166;;100%;100%;100%;;100%
3021762464180;;100%;100%;100%;;100%
3021762496341;;100%;100%;100%;;100%
3021762496358;;100%;100%;100%;;100%
3021762512171;100%;100%;81%;100%;100%;100%
3021762512263;100%;100%;100%;100%;100%;100%
3021762512522;79%;83%;83%;79%;50%;50%
3021762516247;;100%;100%;100%;;100%
3021762516308;;100%;100%;100%;;100%
3021762516315;;100%;100%;100%;;100%
3021762516339;;100%;100%;100%;;100%
3021891004011;100%;100%;100%;100%;;100%
3023260001263;100%;100%;100%;100%;;100%
3023260005872;100%;100%;94%;100%;100%;100%
3023260020233;100%;100%;100%;100%;100%;100%
3023260020349;;100%;100%;100%;;100%
3023260025825;100%;100%;100%;100%;100%;100%
3023260026129;100%;100%;100%;100%;;100%
3023260027751;100%;100%;100%;100%;100%;100%
3023260029656;86%;95%;95%;86%;;86%
3023260029694;100%;100%;100%;100%;100%;100%
3023260029731;87%;94%;96%;87%;100%;100%
3023260030737;;100%;100%;100%;;100%
3023260030928;100%;100%;100%;100%;100%;100%
3023260030980;100%;100%;100%;100%;100%;100%
3023260031017;73%;89%;94%;73%;100%;100%
3023260033547;100%;83%;83%;100%;;100%
3023260034247;100%;100%;100%;100%;100%;100%
3023290001950;100%;100%;100%;100%;100%;100%
3023290001998;;75%;75%;75%;;75%
3023290002018;100%;100%;100%;100%;100%;100%
3023290002056;;60%;60%;60%;;60%
3023290003046;100%;100%;100%;100%;;100%
3023290005576;100%;91%;92%;100%;100%;100%
3023290007150;100%;100%;100%;100%;100%;100%
3023290007310;100%;100%;100%;100%;100%;100%
3023290008331;;100%;100%;100%;;100%
3023290008362;;100%;100%;100%;;100%
3023290008454;;95%;85%;95%;;95%
3023290009055;95%;82%;86%;95%;;95%
3023290009086;90%;87%;91%;90%;;90%
3023290009178;100%;100%;100%;100%;100%;100%
3023290009994;;56%;56%;56%;;56%
3023290010464;;;100%;100%;;100%
3023290010532;;;92%;92%;;92%
3023290010570;;;84%;84%;;84%
3023290011546;20%;70%;70%;20%;;20%
3023290013403;100%;100%;100%;100%;;100%
3023290014080;97%;99%;98%;97%;100%;100%
3023290021064;100%;100%;100%;100%;100%;100%
3023290021095;100%;100%;100%;100%;100%;100%
3023290021286;100%;100%;100%;100%;100%;100%
3023290021507;85%;89%;92%;85%;100%;100%
3023290021569;100%;100%;100%;100%;100%;100%
3023290021620;96%;98%;98%;96%;100%;100%
3023290021651;96%;98%;98%;96%;100%;100%
3023290021712;60%;81%;84%;60%;100%;100%
3023290022566;;59%;59%;59%;;59%
3023290027332;99%;100%;100%;99%;100%;100%
3023290029862;100%;100%;100%;100%;100%;100%
3023290030547;91%;91%;94%;91%;100%;100%
3023290030585;98%;99%;99%;98%;100%;100%
3023290030608;92%;93%;95%;92%;100%;100%
3023290035627;100%;100%;100%;100%;100%;100%
3023290035801;94%;97%;98%;94%;67%;67%
3023290035924;100%;100%;100%;100%;100%;100%
3023290036655;100%;100%;100%;100%;100%;100%
3023290036686;100%;100%;100%;100%;100%;100%
3023290038123;100%;100%;100%;100%;;100%
3023290038147;92%;93%;95%;92%;100%;100%
3023290040522;92%;86%;89%;92%;100%;100%
3023290047354;100%;100%;100%;100%;100%;100%
3023290047385;93%;97%;98%;93%;75%;75%
3023290048245;;100%;95%;100%;;100%
3023290048269;;;100%;100%;;100%
3023290050255;100%;100%;100%;100%;100%;100%
3023290050286;100%;100%;100%;100%;100%;100%
3023290050347;100%;100%;99%;100%;100%;100%
3023290050378;100%;100%;100%;100%;100%;100%
3023290050408;100%;100%;100%;100%;;100%
3023290052037;60%;47%;44%;60%;;60%
3023290052068;100%;100%;100%;100%;;100%
3023290052150;100%;100%;100%;100%;;100%
3023290052181;100%;88%;88%;100%;;100%
3023290052310;100%;100%;95%;100%;100%;100%
3023290056042;;;100%;100%;;100%
3023290062609;;70%;70%;70%;;70%
3023290062647;;50%;50%;50%;;50%
3023290063873;83%;87%;91%;83%;100%;100%
3023290068175;100%;100%;100%;100%;100%;100%
3023290068205;80%;82%;87%;80%;;80%
3023290068861;;;100%;100%;;100%
3023290069042;;88%;89%;88%;;88%
3023290069226;;100%;100%;100%;;100%
3023290069448;87%;88%;93%;87%;100%;100%
3023290069462;100%;100%;100%;100%;100%;100%
3023290069509;65%;65%;65%;65%;;65%
3023290070628;;100%;100%;100%;;100%
3023290077658;83%;86%;89%;83%;100%;100%
3023290077740;;100%;100%;100%;;100%
3023290077832;100%;100%;100%;100%;;100%
3023290078136;;60%;50%;60%;;60%
3023290078518;88%;89%;92%;88%;100%;100%
3023290079003;100%;100%;100%;100%;100%;100%
3023290079034;62%;81%;82%;62%;;62%
3023290080504;100%;100%;100%;100%;100%;100%
