EAN Final;Libellé;Code Méti;VMJ;Classement;Ligne;Contrôle
3560070609888.0;6X40G QUENELLES NATURE CRF;4499630;169.25525600062502;64;64;
3095758914010.0;2X75G ALLUMETTES JAMBON CUIT;6066934;168.35501881993503;65;65;
3560070874989.0;12X OEUFS PPA FQC CRF;5053365;168.20904829500003;66;66;
3245412511561.0;4X150G YRT ALA GRECQUE CRF EXT;2594348;167.45831683929003;67;67;
3560070392742.0;10X OEUFS FRAIS SIMPL;3856886;166.66806366000003;68;68;
3270190023661.0;2X100G LARDONS NAT CRF CLASS;843453;166.25906820864003;69;69;
3270190207443.0;BLE 1L LAIT MONT ENT CRF EXT;1101205;164.422113585;70;70;
3560070837984.0;1KG RIZ BASMATI CRF EXTRA;4957752;163.597499725;71;71;
3068320110097.0;PET 1L BADOIT ROUGE NEW PACK;5029512;162.75975094423003;72;72;
3560070323289.0;500ML PUREE DE TOMATE CRF CLAS;3764310;161.71196123312;73;73;
3560071448271.0;PET 1L EAU MIN INT PETIL CRF C;7440944;161.70989969847002;74;74;
3560070944286.0;18 OEUFS TT CALIBRE PPA CRF OR;5482395;159.99046357500004;75;75;
7613036249928.0;PET 1 5L EAU MIN  VITTEL;6349858;159.139372143385;76;76;
3254381204312.0;12X50CL CRISTALINE;4042746;158.83514853003499;77;77;
3560070230228.0;BOC37CL OLIVE VRT DENOYT CRF;3291055;157.8546532;78;78;
3560070711994.0;360G PAINS AU CHOCOLAT CRF CLA;4745043;157.84577554770001;79;79;
3560071094898.0;2X100G ALLUMET FUM SSA CRF CLA;6282768;154.50993661293003;80;80;
3254381014522.0;PET 2L EAU SOURCE;1775047;153.602502380415;81;81;
3240931548135.0;720G GNOCCHI A POELER LUSTX6;7639375;153.55307580075;82;82;
3560070257096.0;300G BQ FROMAGE NATURE CRF CLA;3407479;152.66830889718003;83;83;
3245412373039.0;BRK 2L PUR JUS ORANGE CRF EXTR;2526344;152.05325909094003;84;84;
3560070907045.0;200G X10 FROM FONDU CHED CRF;5369080;151.55964599076003;85;85;
3560071256098.0;1L EAU MIN NAT PRCE NR CRF CLA;7057444;151.107868750945;86;86;
7613035866386.0;PET 1 5 L CONTREX;6140823;151.07744638960997;87;87;
3560070778065.0;8X100G FRO BLC NAT 3  CRF CLA;4801838;148.37524656561004;88;88;
3560070433063.0;500G 21T PDM SS CR CRF CLASS;3965522;147.80653258914003;89;89;
3270190021179.0;X6 OEUFS CRF BIO;1109658;146.63526340500002;90;90;
3270190021438.0;16X125G YT NATURE CRF CLASS;843344;146.46442561821004;91;91;
3560071095826.0;2X1/4 LIST ENT NAT CRF CLA;6448466;145.145144830275;92;92;
3270190021162.0;BRK 1L LAIT UHT MONT ENT CRF;843402;144.3074255;93;93;
3245412897993.0;16X125G YRT FTS MIXES CRF CLAS;2791007;143.92288872432002;94;94;
5000112611861.0;PET 1 75L  COCA;6545729;142.91194324492;95;95;
3428273980046.0;1L S/LACTOSE 1 2 MG ML LACTEL;766548;141.686331445;96;96;
8000430138719.0;125G MOZZARELLA BOULE GALBANI;6158370;141.11364351933003;97;97;
3245413442338.0;12X125G YAOURT NATURE CRF BIO;3088822;139.51398060666;98;98;
8005110170300.0;3X400G POLPA FINE MUTTI;5344414;139.09068261768002;99;99;
3616479277699.0;15 SACS POUB 50L CX 100  RECY;7469512;138.4173265;100;100;
3329770077003.0;850G SKYR NATURE YOPLAIT;7312481;138.11301406575;101;101;
3270190205678.0;6  OEUFS PLEIN AIR CRF ORIGI;1109385;137.05698636000002;102;102;
3560071139902.0;3X1/4 MAIS SS SUCRE/OGM CRF CL;6413742;136.12919974147;103;103;
3154230809302.0;BPARIS JAMBON A L'ETOUFFEE 4T;7536907;134.73475273044002;104;104;
3560070332618.0;4 RLX ESSUIE TOUT BLC CRF ESSE;3720780;134.67711363499998;105;105;
3560070913572.0;150G MOZZA VCH BILLE CRF CLASS;5513097;132.38345190051004;106;106;
7613035040793.0;LT2X205G DESSERT NOIR NESTLE;5624782;129.33985932713998;107;107;
3100881040809.0;ST YORRE 1 15 L;6712696;129.13170322848;108;108;
3560071413675.0;125G BURRATA DI BUFALA CRF EXT;7186467;127.39477097547001;109;109;
3270190153917.0;720ML HV XF C/R MAIN CRF EXTRA;1040216;126.62311006438001;110;110;
3017620425035.0;1KG NUTELLA;6449367;125.37075721500001;111;111;
3179730115821.0;PET 1L EAU MINERALE CONTREX;819623;124.85337091884;112;112;
3245415348812.0;330G CHIPOLATA X6 CRF;4856359;124.24971198159001;113;113;
8076809523547.0;200G SCE PESTO ROSSO;2143736;123.597837416;114;114;
3560071457389.0;BK 1L LAIT ENTIER CRF CLASSIC;7539285;123.22087108000001;115;115;
3270190022824.0;250G BEUR MOULE DX BRETA CRF O;1039469;123.04067356620003;116;116;
3560070316991.0;X15 MOUCHOIR MINI CRF SOFT;3649404;122.83003356085501;117;117;
3560071455804.0;100G GRANA PADANO RAPE AOP CRF;7698595;122.49241540537504;118;118;
3560070323067.0;4/4 HARICOT VERT XF CRF CLASSI;3680407;121.66600274598002;119;119;
3560071098285.0;12X OEUFS DJP SOL CRF  CLASSIC;6557621;120.61981692000003;120;120;
3270190118862.0;1L HUILE TOURNESOL CRF CLASSIC;843694;120.16873958018;121;121;
3560071261788.0;150G CHIPS PAYSANNE CRF ORI;7214603;120.02702379824;122;122;
3560070935475.0;125G MOZZARELLA SIMPL;5509240;119.39820890445;123;123;
3560071000035.0;1/4 MRCX THON LISTAO NAT SIMPL;5662642;119.19339808677;124;124;
3560070435272.0;BP 50CL LAIT UHT1/2ECR BIO CRF;3970901;119.03890079000001;125;125;
5449000267412.0;COCA COLA PET 1 25L CT;6693287;118.85530640417001;126;126;
3560071096298.0;240G JB PARIS 6T DD CRF CLASS;6250648;118.35475079886001;127;127;
3228857000913.0;650G 100  MIE NATURE PT;6465251;118.22706058185003;128;128;
3560070930036.0;250G COMTE CARREFOUR EXTRA;5603881;116.54814271432502;129;129;
3270190020660.0;1KG HARICOTS VERT EX FIN CRF;843517;116.20788726384004;130;130;
3245412950872.0;2 X1/2 BAGUET PRECUITES CRF CL;2814946;115.01782411023004;131;131;
3560071252038.0;225G CHORIZO DOUX CRF EXTRA;6971462;114.49618570359002;132;132;
3560070273546.0;1/2 POIS CHICHES CRF CLASSIC;3737822;114.450513669;133;133;
3616479277682.0;SACS POUBELLE NOIR 30L;7469505;113.6789107;134;134;
3155251205500.0;250G PL BEUR DX PRESIDENT;6213130;112.94118112995002;135;135;
3560071188931.0;500ML LIQ VAIS PS  ALOE CRF ES;6697102;112.41253941500001;136;136;
3154230801368.0;KNACKI ORIGINAL PORC 10PCE 350;7426604;111.5872297281;137;137;
3270190020875.0;50CL SP LAIT CRE 15 MG CRF CLA;843391;111.13847083008002;138;138;
7322540819342.0;PHR12 ROSE BLANC 50 ANS LOTUS;5800465;110.20805206227001;139;139;
3270190199359.0;2X75G DES JAMBON PARIS CRF CL;1830755;109.55031997909501;140;140;
3270190020936.0;1KG FROMAGE FRAIS 0 MG CRF CLA;843380;109.06200914211001;141;141;
3256540000704.0;700G PAINS LAIT X20 PASQUIER;5512335;107.924671835325;142;142;
3270190021001.0;50CL CREME FR EPAISSE CRF CLA;843389;107.08525822464001;143;143;
7622210449931.0;3X300G PRINCE CHOCOLAT;5729077;106.96272531525003;144;144;
3468570116601.0;1L ROZANA EAU GAZEUSE NATUREL;2158792;106.78955640465001;145;145;
3560070820597.0;BRK 1L PJ POMME FR CRF BIO;5006828;106.74909142452002;146;146;
3560071099213.0;3X20CL CREM UHT S E 30 CRF CLA;6549982;106.59020935680003;147;147;
3270190027447.0;3X20CL CREME UHT 30  CRF CLA;843404;106.12610104320001;148;148;
3560070167470.0;PET 1 5L PJ ORANGE CRF EXTRA;3004279;104.94548420973;149;149;
3270190128724.0;PQ 1KG FARINE TYPE 65 CRF BIO;1102088;104.40930849776001;150;150;
3560070379545.0;200G EMMENTAL RAPE SIMPL;3835047;104.31332902012502;151;151;
3560071472719.0;550G PDM GT CPLT SA CRF CLA;7622991;104.17908206457001;152;152;
3560070837885.0;400G CHAMPIG PARIS EMINC CRF C;7382490;102.347508793305;153;153;
