CODE_FOURNISSEUR;NO_COMMANDE_FOURNISSEUR;CODE_RAYON;CLASSE_STOCKAGE;SITUATION_COMMANDE;DATE_COMMANDE;DATE_LIVRAISON;CDBASE;EAN;LIBELLÉ_ARTICLE;QUANTITE_CONFIRMEE;QUANTITE_COMMANDEE;Commande_Origine;Code_Famille;Libelle_Famille;Libelle_Rayon;Mod_pas_cde;Passage_Prolog;IFLS;DATE_RECEPTION;NUM_COMMANDE_EXTERNE;DATE_CREATION
509;1600228;1;1060;39;03/05/2025;20/05/2025;7311860;3560071410001;1 5KG CROQ CHAT SENS CRF COMP;4;4;0;161;PRODUITS CHATS;EPICERIE;P;0;161449;20/05/2025;VP021074;15/05/2025 17:24:22
509;1600230;1;1060;39;03/05/2025;16/05/2025;7311860;3560071410001;1 5KG CROQ CHAT SENS CRF COMP;20;0;0;161;PRODUITS CHATS;EPICERIE;P;0;161449;16/05/2025;VP021074;15/05/2025 17:24:22
509;1600228;1;1060;39;03/05/2025;20/05/2025;7311854;3560071409913;1 5KG CROQ CHAT ADUL CRF COMP;4;4;0;161;PRODUITS CHATS;EPICERIE;P;0;161440;20/05/2025;VP021074;15/05/2025 17:24:22
509;1600230;1;1060;39;03/05/2025;16/05/2025;7311854;3560071409913;1 5KG CROQ CHAT ADUL CRF COMP;28;0;0;161;PRODUITS CHATS;EPICERIE;P;0;161440;16/05/2025;VP021074;15/05/2025 17:24:22
509;1602176;1;1060;39;07/05/2025;16/05/2025;7311890;3560071410124;450G CROQ CHAT ADUL CRF COMP;36;36;0;161;PRODUITS CHATS;EPICERIE;P;0;Q25025;16/05/2025;VP021074;15/05/2025 17:24:22
509;1600230;1;1060;39;03/05/2025;16/05/2025;7311889;3560071410094;450G CROQ CHAT STERIL CRF COMP;48;48;0;161;PRODUITS CHATS;EPICERIE;P;0;Q25024;16/05/2025;VP021074;15/05/2025 17:24:22
794;1605861;3;1060;41;03/05/2025;15/05/2025;7289153;3560071403768;750ML CREME LAV  SIMPL;0;12;1604682;285;SOINS ET BEAUTE DU CORPS;D.P.H.;P;0;Q02957;15/05/2025;;15/05/2025 17:24:22
794;1606060;3;1060;39;15/05/2025;17/05/2025;7289136;3560071403751;750ML RECH  CR LAV  SIMPL;12;12;1606060;285;SOINS ET BEAUTE DU CORPS;D.P.H.;P;1;Q02949;17/05/2025;VP021069;15/05/2025 17:24:22
794;1605861;3;1060;41;03/05/2025;15/05/2025;7289136;3560071403751;750ML RECH  CR LAV  SIMPL;0;24;1604682;285;SOINS ET BEAUTE DU CORPS;D.P.H.;P;0;Q02949;15/05/2025;;15/05/2025 17:24:22
794;1605861;1;1060;41;13/05/2025;15/05/2025;7224743;3456300014556;300G FOURRES CHOCOLAT BIO;48;48;1604682;155;PRODUITS DIETETIQUES;EPICERIE;P;0;P48910;15/05/2025;;15/05/2025 17:24:22
557;1606112;13;1080;41;13/05/2025;15/05/2025;7244907;3700091900711;400G WINGS TEX MEX;13;13;1604654;750;SURGELES;SURGELES / GLACES;P;0;270773;15/05/2025;;15/05/2025 17:24:22
557;1605310;13;1080;39;14/05/2025;16/05/2025;7244907;3700091900711;400G WINGS TEX MEX;13;13;1605310;750;SURGELES;SURGELES / GLACES;P;1;270773;16/05/2025;SF130525;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;7233384;3560071407650;375G MUESLI QUINOA CHO CRF BIO;6;6;1606021;30;CEREALES ET EN-CAS;EPICERIE;P;1;366676;16/05/2025;VP021074;15/05/2025 17:24:22
509;1606310;1;1060;41;14/05/2025;15/05/2025;7233384;3560071407650;375G MUESLI QUINOA CHO CRF BIO;6;6;1605301;30;CEREALES ET EN-CAS;EPICERIE;P;0;366676;15/05/2025;;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;7233384;3560071407650;375G MUESLI QUINOA CHO CRF BIO;0;0;1605301;30;CEREALES ET EN-CAS;EPICERIE;P;1;366676;15/05/2025;;15/05/2025 17:24:22
509;1606310;1;1060;41;14/05/2025;15/05/2025;7233472;3560071407773;375G MUESLI GRAINES CRF BIO;6;6;1605301;30;CEREALES ET EN-CAS;EPICERIE;P;0;347292;15/05/2025;;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;7233472;3560071407773;375G MUESLI GRAINES CRF BIO;0;0;1605301;30;CEREALES ET EN-CAS;EPICERIE;P;1;347292;15/05/2025;;15/05/2025 17:24:22
691;1605321;17;1070;39;14/05/2025;17/05/2025;7292018;3560071263294;300G GNOCCHI NATURE BIO CRF;49;49;1605321;855;TRAITEUR LIBRE-SERVICE;CHARCUTERIE / TRAITEUR L.S.;P;1;177764;17/05/2025;SF130525;15/05/2025 17:24:22
