CDBASE;FOURNISSEUR;DATE_LIVRAISON;STOCK;RAL;MINIMUM_COMMANDE;PCB;QTÉPRÉVISION1;QTÉPRÉVISION2;CLASSE_STOCKAGE;COCHE_RAO;STOCK_MARCHAND;QTÉPRÉVISIONINIT1;QTÉPRÉVISIONINIT2;QTÉPROPOSÉE1;QTÉPROPOSÉE2;NUMERO_COMMANDE;DATE_L2;DATE_COMMANDE;QTÉPROPOSÉEFINALE;STOCK_REEL;CDBASE2;NUMERO_COMMANDE2;IFLS
7977199;509;05/06/2025;15;;24;4;0,02;0,01;1060;46;9999;0,02;0,01;9984,03;9999,01;1616143;06/06/2025;04/06/2025;9984;15;7977199;1616143;V91040              
7977220;509;05/06/2025;20;;4;4;0;0;1060;46;20;0,01;0,01;0,01;20;1616143;06/06/2025;04/06/2025;0;20;7977220;1616143;V91058              
7977267;509;05/06/2025;182;24;16;4;0,02;0,01;1060;46;9999;0,02;0,01;9793,03;9999,01;1616143;06/06/2025;04/06/2025;9793;182;7977267;1616143;V91096              
7977268;509;05/06/2025;87;20;16;4;0;0;1060;46;9999;0;0;9892;9999;1616143;06/06/2025;04/06/2025;9892;87;7977268;1616143;V91097              
7977282;509;05/06/2025;14;;3;3;0,04;0,02;1060;46;20;0,04;0,02;6,04;20,02;1616143;06/06/2025;04/06/2025;6;14;7977282;1616143;V91105              
7977283;509;05/06/2025;186;32;16;4;0;0;1060;46;9999;0;0;9781;9999;1616143;06/06/2025;04/06/2025;9781;185;7977283;1616143;V91106              
7977295;691;06/06/2025;6;;6;6;0,02;0,01;1070;54;9999;0,02;0,01;9993,02;9999,01;1616165;07/06/2025;04/06/2025;9993;6;7977295;1616165;355955              
7977297;691;06/06/2025;13;8;4;4;0;0;1070;46;9999;0;0;9978;9999;1616165;07/06/2025;04/06/2025;9978;13;7977297;1616165;355998              
7977313;691;06/06/2025;9;;6;6;0,02;0,01;1070;54;9999;0,02;0,01;9990,02;9999,01;1616165;07/06/2025;04/06/2025;9990;9;7977313;1616165;356084              
7977314;522;06/06/2025;14;;6;6;0,06;0,02;1060;54;9999;0,06;0,02;9985,08;9999,02;1616149;07/06/2025;04/06/2025;9985;14;7977314;1616149;V91128              
7977315;522;06/06/2025;4;6;6;6;0,04;0,01;1060;54;9999;0,04;0,01;9989,05;9999,01;1616149;07/06/2025;04/06/2025;9989;4;7977315;1616149;V91129              
7977471;557;06/06/2025;202;;48;8;0,01;0;1080;54;9999;0,01;0;9797,01;9999;1616152;07/06/2025;04/06/2025;9797;202;7977471;1616152;359516              
7977497;509;05/06/2025;2;38;2;2;5,33;3;1060;54;9999;5,33;3;9964;10002;1616143;06/06/2025;04/06/2025;9964;4;7977497;1616143;V91563              
7977498;509;05/06/2025;0;;2;2;0;0;1060;46;0;0;0;0;0;1616143;06/06/2025;04/06/2025;0;0;7977498;1616143;V91564              
