entrepot;EAN13;ifls;libelle article;Nombre Maxi Unités De Commande;pcb;ID;ID2;QteMaxUS
528;8000070059313;R24661;CN CAPS ALU 30X165G INT N9 8CA;1;8;528-8000070059313;528-R24661;8
528;8000070059337;R24660;CN CAPS ALU 30X165G CLA N7 8CA;1;8;528-8000070059337;528-R24660;8
528;8000070059351;R24662;CN CAPS ALU 30X168G LUNGO 8CA;1;8;528-8000070059351;528-R24662;8
528;8000070059375;R29027;CN CAPS ALU 30X165G PUI N11 8C;1;8;528-8000070059375;528-R29027;8
528;8000070059399;R24664;CN CAPS ALU 30X165G ESP BIO 8C;1;8;528-8000070059399;528-R24664;8
528;8000070075207;V39849;168G X30 CAPS ICONIQUE CNOIRE;1;8;528-8000070075207;528-V39849;8
528;8000070075214;V39851;55G X10 CAPS T NAP;1;10;528-8000070075214;528-V39851;10
528;8000070075290;V39853;55G X10 CAPS T ROM;1;10;528-8000070075290;528-V39853;10
528;8000070079601;W44349;2X250G MOULU PETIT DEJ CN;1;6;528-8000070079601;528-W44349;6
528;8000070200289;904851;250G CAFE MLU CLASSIC C.NOIRE;1;12;528-8000070200289;528-904851;12
528;8000070200326;909450;LT2X250G CFE MLU CLASSIC C.NOI;1;6;528-8000070200326;528-909450;6
528;8000070200340;909433;X LT3X250G CFE MLU CLASSI;1;4;528-8000070200340;528-909433;4
528;8000070201460;576029;250G X36DOS CORSE 7 CARTE NOIR;1;10;528-8000070201460;528-576029;10
528;8000070201507;577691;250G X36DOS CLASSIC 5 CN;1;10;528-8000070201507;528-577691;10
528;8000070017719;J96903;500G GRAINS ESP ITALIANO LAVAZ;1;12;528-8000070017719;528-J96903;12
528;8000070025035;N21936;1KG GRAIN BARISTA PERFETTO LVZ;1;6;528-8000070025035;528-N21936;6
528;8000070057647;Q27983;1KG CN GRAIN BIO STD;1;6;528-8000070057647;528-Q27983;6
528;8000070062405;R75442;1KG CN GRAIN ESPRESSO 48CA;1;6;528-8000070062405;528-R75442;6
528;8000070063334;S08164;1KG CN GRAIN CLASSIC RFA;1;6;528-8000070063334;528-S08164;6
528;8000070200166;765062;250G CAFE GRAIN CARTE NOIRE;1;12;528-8000070200166;528-765062;12
528;8000070200098;909341;LT2X250G CAF MLU DK N5 C.NOIRE;1;6;528-8000070200098;528-909341;6
528;8000070016675;102092;45G 25STICK INSTANT CLASSIC CN;1;16;528-8000070016675;528-102092;16
528;8000070016699;L28639;144G X80STICK CN INST CLASSIC;1;8;528-8000070016699;528-L28639;8
555;8000070000179;666457;250G X36DOS DK 5 CARTE NOIR;1;10;555-8000070000179;555-666457;10
555;8000070000193;576274;250G X36DOS ESPR CLASSIC 8 CN;1;10;555-8000070000193;555-576274;10
