EAN Final;Libellé;Code Méti;VMJ;Classement;Ligne;Contrôle
3,56007E+12;200G SAUMON ATL FUME DECONG SI;7292738;71,01179345;335;7845;1
3,56007E+12;450G EMMENT BLOC CRF CL;6930636;70,88136185;336;6838;1
3,17973E+12;PET 1L EAU MINERALE VITTEL;2081169;70,86733355;337;1200;1
3,56007E+12;75G BEIGNET CREVETTE CRF SENSA;5695715;70,73038234;338;4695;1
3,27277E+12;400G SAINT MORET;5244008;70,70137152;339;4091;1
3,56007E+12;175G TUILES OIGNON CRF SENSAT;3313350;70,65615625;340;1909;1
3,15423E+12;BPARIS JAMBON A L'ETOUFFEE 6T;7536909;70,64677247;341;8642;1
3,22886E+12;500G 100  MIE COMPLET HARRY'S;5645627;70,44093393;342;4625;1
3,27019E+12;450G PC COCKTAIL CRF EXTRA;1080682;70,42933912;343;822;1
3,45179E+12;250G BEURRE TEND E L;5140901;70,36963499;344;3969;1
3,56007E+12;1KG CHOUX FLEURS CRF CLASSIC;2416621;70,09049936;345;1359;1
3,24541E+12;100G CHORIZO DOUX 20TR CRF EXT;3210698;70,01480557;346;1862;1
3,22886E+12;900G AMS COMPLET MAXI SSA;7864884;69,7468315;347;10221;1
3,56007E+12;12X125G YAG NATURE CRF EXTRA;6279875;69,58003136;348;5628;1
7,32254E+12;X42 PH HUMIDE PURE LOTUS;5863584;69,47771559;349;4894;1
3,24093E+12;GNOCCHI 390 GR LUST     X8;7431958;69,47300731;350;8239;1
3,56007E+12;4X125G YT NATURE CRF CLASSIC;6046746;69,40534844;351;5227;1
3,24542E+12;650G HACHE VRAC 20  CRF;7243401;69,37961293;352;7735;1
3,24541E+12;550G PDM SDW CEREAL CRF CLAS;2612515;69,03839707;353;1485;1
3,27019E+12;16X125G YT BRASSE NAT CRF CLAS;843348;68,67091625;354;624;1
3,27019E+12;125G BOUQUET MACHE CRF;1084039;68,61202587;355;827;1
3,56007E+12;161 BAT TIGE PAP SACHET CRF SF;6736651;68,38770842;356;6519;1
3,56007E+12;X200 BATONNETS OUATES PP BLANC;6839584;68,19053011;357;6689;1
3,56007E+12;80G CHOC NOIR 72  CRF SEL;4764971;68,12392551;358;3499;1
8,7121E+12;88G LEVURE CHIMIQUE ALSA;5619684;67,94731625;359;4569;1
3,56007E+12;750ML GEL JAV WC PIN/EUCA CRFE;6678534;67,90568941;360;6293;1
3,24541E+12;1L BOISSON AVOINE BIO CRF BIO;3091624;67,86572549;361;1786;1
3,56007E+12;3X20CL BT SPLAIT UHT12 CRF CLA;7791169;67,60666189;362;9722;1
3,01776E+12;2X120G 18 BARQUETT CHOCOLAT LU;175476;67,45791932;363;320;1
3,01126E+12;3 GRATTE EPONGE SPONTEX;45099;67,24168092;364;178;1
3,25654E+12;720G PAINS CHOCO X16 PASQUIER;5664564;67,20815638;365;4643;1
3,56007E+12;100G JAMBON SERRANO CRF EXTRA;5345420;67,18488575;366;4181;1
3,56007E+12;200G POINTE BRIE 60 MG CRF CLA;2132494;67,1283989;367;1220;1
3,27019E+12;1KG EPINARD HACHES CREM CRF CL;1093486;67,07687837;368;852;1
3,56007E+12;370G TORTIL BLE WRAP CRF SENS;3869194;66,73913417;369;2514;1
3,22886E+12;550G AMS NATURE SSA;7853208;66,31492928;370;10173;1
3,26614E+12;480G RAVIOLES LOT ST JEAN;6974095;66,31289659;371;7022;1
3,15423E+12;KNACKI ORIGINAL PORC 6PCE 210G;7426603;66,31194336;372;8193;1
3,56007E+12;4X125G YAOURT NATURE CRF BIO;4991009;66,29232094;373;3813;1
8,0768E+12;1KG PENNE RIGATE BARILLA;2171957;66,23660146;374;1246;1
