N° Rayon;Libellé Rayon;N° Groupe de familles;Libellé Groupe de famille;N° Famille;Libellé Famille;Facteur;A supprimer le
21;POISSONNERIE;211;POISSON STAND;2116;POISSON CONGELE;1;
21;POISSONNERIE;212;CRUSTACE, COQUILLAGE STAND;2120;CRUSTACE STAND;1;
21;POISSONNERIE;212;CRUSTACE, COQUILLAGE STAND;2121;COQUILLAGE STAND;1;
21;POISSONNERIE;213;CRUSTACE,COQUILLAGE L.S.;2130;CRUSTACE L.S.;1;
21;POISSONNERIE;213;CRUSTACE,COQUILLAGE L.S.;2131;COQUILLAGE LIBRE SERVICE;1;
21;POISSONNERIE;214;HUITRES;2140;HUITRES MARENNES;1;
21;POISSONNERIE;214;HUITRES;2141;HUITRES BRETONNES;1;
21;POISSONNERIE;214;HUITRES;2142;HUITRES NORMANDES;1;
21;POISSONNERIE;214;HUITRES;2143;HUITRES AUTRE ORIGINE;1;
21;POISSONNERIE;219;GESTION DU RAYON POISSON;2190;COMMANDES CLIENTS POISSON;1;
21;POISSONNERIE;219;GESTION DU RAYON POISSON;2191;ECONOMAT POISSON;1;
21;POISSONNERIE;219;GESTION DU RAYON POISSON;2199;REMBOURSEMENT POISSONNERIE;1;
22;FRUITS ET LEGUMES;220;FRUITS;2200;AGRUMES VRACS;1;
22;FRUITS ET LEGUMES;220;FRUITS;2201;AGRUMES CONDITIONNES;1;
22;FRUITS ET LEGUMES;220;FRUITS;2202;FRUITS D'ETE VRAC;1;
22;FRUITS ET LEGUMES;220;FRUITS;2203;FRUITS D'ETE CONDITIONNES;1;
22;FRUITS ET LEGUMES;220;FRUITS;2204;FRUITS ROUGE VRACS;1;
22;FRUITS ET LEGUMES;220;FRUITS;2205;FRUITS ROUGE CONDITIONNES;1;
22;FRUITS ET LEGUMES;220;FRUITS;2206;FRUITS A PEPIN VRACS;1;
22;FRUITS ET LEGUMES;220;FRUITS;2207;FRUITS A PEPIN CONDITIONNES;1;
22;FRUITS ET LEGUMES;221;PRODUITS EXOTIQUES;2210;FRUITS EXOTIQUE VRACS;1;
22;FRUITS ET LEGUMES;221;PRODUITS EXOTIQUES;2211;FRUITS EXOTIQUE CONDITIONNES;1;
22;FRUITS ET LEGUMES;221;PRODUITS EXOTIQUES;2212;LEGUMES EXOTIQUES VRACS;1;
22;FRUITS ET LEGUMES;221;PRODUITS EXOTIQUES;2213;LEGUMES EXOTIQUES CONDITIONNE;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2220;SALADE;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2221;CRUDITES VRACS;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2222;CRUDITES CONDITIONNES;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2223;LEGUMES A CUIRE VRACS;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2224;LEGUMES A CUIRE CONDITIONNE;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2225;CHAMPIGNONS VRACS;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2226;CHAMPIGNONS CONDITIONNES;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2227;POMMES DE TERRE VRACS;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2228;POMMES DE TERRE CONDITIONNES;1;
22;FRUITS ET LEGUMES;222;LEGUMES;2229;CONDIMENTS;1;
22;FRUITS ET LEGUMES;223;PRODUITS BIOLOGIQUES;2230;FRUITS BIOLOGIQUES VRACS;1;
22;FRUITS ET LEGUMES;223;PRODUITS BIOLOGIQUES;2231;FRUITS BIOLOGIQUES CONDITIONNE;1;
22;FRUITS ET LEGUMES;223;PRODUITS BIOLOGIQUES;2232;LEGUMES BIOLOGIQUES VRACS;1;
22;FRUITS ET LEGUMES;223;PRODUITS BIOLOGIQUES;2233;LEGUMES BIOLOGIQUES CONDITIONN;1;
22;FRUITS ET LEGUMES;224;4EME/5EME GAMME INDUSTRIELLE;2240;SALADE 4EME/5EME GAMME;1;
22;FRUITS ET LEGUMES;224;4EME/5EME GAMME INDUSTRIELLE;2241;CRUDITE 4EME/5EME GAMME;1;
22;FRUITS ET LEGUMES;224;4EME/5EME GAMME INDUSTRIELLE;2242;PRODUIT PRECUIT 4E/5E GAMME;1;
22;FRUITS ET LEGUMES;224;4EME/5EME GAMME INDUSTRIELLE;2243;PRODUIT CUIT 4E/5E GAMME;1;
22;FRUITS ET LEGUMES;224;4EME/5EME GAMME INDUSTRIELLE;2244;CONDIMENT 4E/5E GAMME;1;
